 frequency       v(finalp,finaln) v(finalp,finaln)
 1.44543977e+10 -4.06318280e+00  1.27446883e+00 
 1.47910839e+10 -4.06133874e+00  1.42234802e+00 
 1.51356125e+10 -4.05213434e+00  1.57378170e+00 
 1.54881662e+10 -4.03513923e+00  1.72844237e+00 
 1.58489319e+10 -4.00992967e+00  1.88596151e+00 
 1.62181010e+10 -3.97609186e+00  2.04592840e+00 
 1.65958691e+10 -3.93322544e+00  2.20788907e+00 
 1.69824365e+10 -3.88094733e+00  2.37134546e+00 
 1.73780083e+10 -3.81889577e+00  2.53575489e+00 
 1.77827941e+10 -3.74673461e+00  2.70052982e+00 
 1.81970086e+10 -3.66415789e+00  2.86503786e+00 
 1.86208714e+10 -3.57089458e+00  3.02860228e+00 
 1.90546072e+10 -3.46671356e+00  3.19050285e+00 
 1.94984460e+10 -3.35142880e+00  3.34997719e+00 
 1.99526231e+10 -3.22490472e+00  3.50622258e+00 
 2.04173794e+10 -3.08706158e+00  3.65839841e+00 
 2.08929613e+10 -2.93788103e+00  3.80562918e+00 
 2.13796209e+10 -2.77741170e+00  3.94700819e+00 
 2.18776162e+10 -2.60577464e+00  4.08160193e+00 
 2.23872114e+10 -2.42316876e+00  4.20845520e+00 
 2.29086765e+10 -2.22987601e+00  4.32659710e+00 
 2.34422882e+10 -2.02626622e+00  4.43504772e+00 
 2.39883292e+10 -1.81280165e+00  4.53282578e+00 
 2.45470892e+10 -1.59004084e+00  4.61895707e+00 
 2.51188643e+10 -1.35864192e+00  4.69248374e+00 
 2.57039578e+10 -1.11936505e+00  4.75247443e+00 
 2.63026799e+10 -8.73073944e-01  4.79803513e+00 
 2.69153480e+10 -6.20736207e-01  4.82832080e+00 
 2.75422870e+10 -3.63422488e-01  4.84254754e+00 
 2.81838293e+10 -1.02304164e-01  4.84000532e+00 
 2.88403150e+10  1.61350517e-01  4.82007093e+00 
 2.95120923e+10  4.26181987e-01  4.78222118e+00 
 3.01995172e+10  6.90746704e-01  4.72604595e+00 
 3.09029543e+10  9.53526386e-01  4.65126096e+00 
 3.16227766e+10  1.21293917e+00  4.55771990e+00 
 3.23593657e+10  1.46735269e+00  4.44542572e+00 
 3.31131121e+10  1.71509914e+00  4.31454067e+00 
 3.38844156e+10  1.95449202e+00  4.16539487e+00 
